content,score
ga ada vn nya jir,3
bagus untuk mengetahui lebih banyak pengalaman dan penghasilan tambahan,5
"bagus, banyak informasi dan hiburan juga, berguna, dan mudah di pahami aplikasinya",5
aku kasih bintang 5 gara-gara Bagus banget aku kalau bikin akun Tik tok di sini selalu berhasil kalau di tiktok yang 1 itu loh,5
agak lag but bagus,2
bagus,5
klo dapet fitur baru pasti belakangan trus,2
apk nya skrg bnyak bug,3
belum ada update sorotan/ highlights,4
mantap,5
akun saya tiba-tiba kena blok akun saya ada dua ini yang kedua kenapa bisa ke blok dasar tiktok kurang ajar kalo gak niat tu gak usah saya gak ada pelanggaran apa apa loh,1
aplikasi yang sangat menghibur.,5
biar bintang yg berbicara,5
karena ketika aku nonton film nya tiba tiba dia ganti sendiri makanya aku kasih reting segini,4
ok,5
aplikasi aneh di ban ga jelas pula,1
bagus kok,5
bagus banget ini,5
ѕaya ѕυdaн мeмвιĸιn vιdeo,5
tiktok is ok,5
"kenapa tiktok saya di dm kan ada ikon kamera, mikrofon, media, tapi kenapa tiba' tidak ada dan kalo dipencet ikon kameranya ada tulisan ""menyiapkan kamera. coba lagi nanti"" terus juga kalo mau buka video yang dikirim teman dari galerinya itu ada tulisan ""memuat. coba lagi nanti"" itu gimana ya kok jadi kaya gitu? cara ngatasinnya gimana ya?",2
bagus banget,5
sangat memuaskan,5
"lah giman aplikasi gk jelas ini gk bisa ngecht lagi sma temen aku jadi nya api nya mati gara"" aplikasi yg gk jelas ini",1
"bagus si tapi ngelag bgt, 😭",3
Aplikasi yang sangat bagus. tapi sekarang ini malah di surung update terus,5
apk nya skrg ga jelas..kuota msh banyak jaringan kenceng tp selalu ada notif tidak terhubung ke jaringan mksd nya apaan cba kaya gtu,1
cara vn nya gimana,3
bagus sih tapi ada tapi tapi nya gitu taukan maksud ku? 👁️👄👁️,4
bagus,5
ganggu pas aku lagi main game 😡,1
bagus banget tiktok nya,5
bagus tpi kurang vitur vn nya,5
tolong banget ini mah adain lagi fitur postingan terjadwal karna itu membantu banget😭,4
saya ingin fitur vn dan call>:(,1
ada stiker tiktok bisa bikin leg pdhl hp saya IP 16 pro,2
aplikasinya klu sdh dibukak sering keluar sendiri,1
good tiktok i love u,5
tolong benerin dikit aja,5
font jdi kecil kek kutu,1
apakah gak bisa ganti nama tiba tiba namanya berubah jadi user mending di hapus ama pp nya gak bisa juga sama bio apalah,1
"aplikasi tiktok ini bagus benget scrol""",1
ko ga masuk2 si,1
kenapa apilkasinya waktu dibuka layarnya putih semua ga muncul postingan sama live siapapun,2
mantap lah pokonya,5
Bagus,5
enak,5
👍👍,5
"aduh ngeleg padahal udah ganti wifi/paket data tetep ngeleg, ini gimana sih dari kemaren ini api streak nya ntar mati aelah",1
aku suka,5
Ini sekarang tiktok ngapain aja sih malah ketemu sticker bergerak bikin lag ajig waktu buka komen malah lag tolong difix lah sticker bikin lag ajigg,1
pas masuk sukak lag,4
"Tiktok Shopnya sangat Burukk. Banyak sheller GAIB / gadungan, sudah belli pkai vocher pengguna baru dll. pesanan gakunjung diproses. giliran dibatalkan semua Vocher Hangus/ Hilang. BURUKKK.🤮🤮 satulagi grtis ongkir klah jauh sama apk oren",1
yang gw kok belum bisa vn😭,5
TikTok ini lebih bagus sayang nya kota ku boros turus,5
saya suka apk ini,5
ketika live berlangsung mereka layar tidak ada suaranya,1
"pls deh ya, abis update kok bukan nya makin bagus malah makin aneh, aku abis update kn, nah pas mau masuk ke tiktok kok tb tb ga bisa masuk? ky pencet tiktok, keluar, gitu terus, pls ini gmna aku ga bisa masuk tiktok ini. jadi tolong di perbaiki.",5
"bagus banget sekarang udah gak ada banyak live lagi, tapi minus nya kalau lagi nonton live pasti lag, jadi mohon dibetulkan ya dari pihak tiktok nya🙏🙏",5
karena mnyebabkan leg -_-,1
saya mengalami masalah tidak bisa memposting ulang sebuah video dan bebera bug lainnya di akun saya.saya kurangin ☆1,1
tidak bisa vn harus di perbarui,5
Aplikasinya buruk waktu di instal gk bisa padahal wifinya kuat,1
kadang sinyal yang bikin masalah,5
tiktok asik bikin seru,4
seru aja,4
aku ingin vn di tik tok,5
"stop normalisasikan tktok itu jelekk??,tiktokk akuu adaa sdktt kekurangan ini Koo aku gaa ada tata letak nyaa??",5
bagus,5
asik banget nonton nya,5
tiktok kenapa kalau bikin video velocity ko patah patah banget ga kayak dulu smooth,2
cara vn gimana?,4
gak bisa ganti akun,3
bgus,5
sangat bagus,5
"suka dan bagus tapi minus nya suka keluar sendri,boros pulsa,suka lag",4
"jaringan bagus memori aman. tapi kenapa ya buka video muter terus mana cuma bisa liat komenan doang, pliss tiktok makin lama makin gajelas anjir🥲 tolong perbaiki lagi lah yang bener",2
kerja dan tidak berhenti,5
Tiktok emang the best bisa punya byk teman yg jauh terasa dekat MasyaAllah,5
pls tolong hilangkan sticker yang bikin lag/lemot soalnya bikin aku kesusahan komen atau scroll komen ini juga sticker yang bikin lemot kayak bikin saya marah atau mau banting hp biasanya sticker lemot itu rata rata orangnya ragebaiter,1
ok,5
nu bener pa rt,4
aplikasi yang bagus,5
"sering nge lag, kadang seharian gak bisa buka sama sekali kayak lagi gak ada sinyal atau paket data nya, tiktok tolong perbaiki lagi yah, karna aku sebenar nya suka banget sama tiktok🙏",2
seru,5
masih oke sejauh ini,4
bagus sekali bukan cuman bisa nonton bisa juga buat beli barang,5
aplikasi nya sih bagus tapi kok aku gak bisa ngirim stiker ya🤷🏻‍♀️,4
woy tiktok kembalikan fitur vidio offline nya,3
"jelek, loading trs padahal udah di update & sinyalku bagus tapi ga bisa buat buka apa apa even drafts ku???? konyol lu tiktok",1
aplikasi ny jelek,1
tolong di perbaiki dulu kerena pas saya mau live malah bug banyak lagi bug. nya. gimana coba ihhhhhh bug nya itu perbaiki jangan diam aja tiktokkkkk ehemmm,4
kalo mau velocity gak kaya duluu lagi,3
baik,5
seru,5
seru,4
sekarang aku bisa vn😆🤩🤩🤩,4
bagus aja sih suka,3
lumayan,4
kenapa tik tok tidak bisa terbuka sih makanya gua kasus bintang satu mudah mudahan bisa di perbaiki ya😭,1
sangat bagus,5
tolong di benai soalnya kadang sering keluar sendiri padahal memori Masi banyak tapi kok ini lag ya tolong diperbaiki,1
Baik,5
"bagus banget, tapi selalu ada shadow band nga...",5
keren,3
Seruu tapi ga cocok kalo yang 18+ banget,5
"ini kenapa ngga bisa di update, padahal ruang penyimpanan masih banyak, gimana ini tiktok!! tolong perbaikilah lh aplk ny",1
seru banget woyyy,5
aku gk ada vitur vn sama sorotan,4
"ini kenapa ya tiktok nya tak bisa di update ya., terus sama ngebug terus ya",1
aneh masa udh di download malah ga keluar di beranda apa ip ga mendukung,1
kasih aku vn dan sorotan,5
"sumpah emosi banget sering ketipu sama seller. giliran mau kasih bintang kenapa dibatasi ya? harusnya jgn dihapus fitur ""review"" biar bisa kasih review kapan aja. saya beli strip diabet baru dipake 2 bulan masih sisa 20 strip udah error semua (kadaluarsa) padahal batas kadaluarsa masih 2027. mau kasih bintang 1 tp udah ga bisa. chat seller dibales ""Ya mana saya tau"" kan songong. tolong lah fiturnya mau sampe kpn pun jgn prnh di ilangin kayak toko oren bahkan bisa diedit juga setelah komen lama.",1
akun sy ilang,1
"tiktok ini kalo aku lagi nonton keluar Mulu trus lemot lagii pas join live orang keluar² Mulu, maka nya aku kasih dulu bingung 3 dulu KLO udh bagus baru kasih bintang 5🤭🤭",3
cuan cuan cuan,5
sangat bagus 👍sekali makasi telah meng hibur kami,5
fidio nya bagus dan lain lain tapi aku blom punya fitur vn sorotan sama telpon pls munculin di akun kuh pls 😁,5
kok gak ada grup nya,3
saya suka tiktok🥰,5
aku selalu nonton ini,5
oke lahhh,5
knpa tiktok sya tidak mendukung efeknya pdhl sudh sya update nyesall dh update tp gabs efeknya,1
bagus,5
Sangat Baik untuk kebutuhan,5
bagus cuma poin kecil bangeut,5
aku gk kasih bintang lima karna banyak mnyt,3
nonton gak pake wifi juga bisa dan bagus sih tapi ada yang gak nya,4
apk sarang monyet,1
cukup membantu,4
apss kesukaan,5
bagus banget tapi pas aku dowdlod ulang tiktok ku gk bisa masuk lagi,5
ga adaaa vn:(,4
aplikasi ini bagus bangett,5
bisa pesan sesuai dengan kebutuhan,5
akun anda selalu kebeli,1
gabisa live di bawah 20 tahun,1
"Bintang 1 aja,mslhnya bsa download tp instalnya yg gk bsa",1
tiktok nya tiba tiba hilang,1
coba kalian cari akun namanya Gibzzz?? itu aku!!!,5
aplikasi ini makin sini makin memusingkan kembali suka tiba tiba ok lah saya kasih bintang 1. ajh,1
pengisi kegabutann,5
di aku GK bisa di download sama sekali aneh,1
apk ini bagus untuk nonto bokep,5
aplikasi ini bagus,5
seru,5
Ok,5
hmm karena aplikasi nya kalo di buat tiktokan lemot mulu jadi nya ak gk tiktokan karena mls hp ku lemot bjirrrr hih sebel deh,1
kok saya gaada fitur vn di komentar sama sorotan ya??,5
suka banget sama tiktok,5
Tidak bisa belanja,3
baguss bgtt,5
bagus,5
"tik tok taekk, dak ngapain akun kenak band, jangan donglot tik tok nyesel banget kalok ngeband akun dan tik tok sekarang lemot, dak kayak tik tok yang dulu HAPUS AJA TIKTOK NYA 😡",1
"apk bgstt bikin penyimpanan penuh, berat, banyak bug, ngelag, respon nya lambat, dulu engga lancar lancar aja tolong dong di perbaiki di update bukan nya makin bagus malah jadi rusak",1
ini aplikasi nya keluar masuk terus sama udah gabisa berfungsi lagi apa ya di ram 2,1
suka banget ma tiktok soalnya kalo aku lagi kesepian selalu scroll,5
terlalu lelet sih sekarang dan banyak bug nya,3
bagus banget seru,5
Kenpa tidak bisa di instal apk nya,3
seruu,5
enak kalih weh,5
sangat membantu,5
saya suka tiktok tapi tolong aktifkan live saya dan aktifkan vn saya terima kasih,4
Tiktok shop kenapa penarik saldo tidak bisa di tarik padahal dah masukan dokumen kecewa sama tiktok shop,1
bagus dan mantap oke,5
ok,5
disamping untuk hiburan dan sangat bermanfaat krn banyak info yg berguna dituktok,5
makin lama aplikasinya ngeleg scroll tiktok aja ngeleg kadang keluar sendiri padahal penyimpanan masih 427 gb apa masih kurang dengan ruang ram segitu ya.... tolong lah benerin bug nya....,1
saya suka bngttt🥰🥰🥰,5
"video bagus bagus tapi pilih kasih giliran video tidak pantes, jelek, video melanggar aja rame kek plenger banget",1
"kok setiap edit vidio disulap kecepatan nya kok malah jadi patah"" ya padahal dulu nggak",2
"Ini kenapa setelah update malah banyak masalah sih? mau nnton live suara malah gak muncul, yg ada nge bug dan cuma nampilin gambar buram sama komentar doang",3
aplikasi ini juga keren,5
ok,5
intinya keren dan bagus,5
bagus tapi padahal saya sudah pake WiFi tapi sering ngelag,4
oke,5
bagu tidak bisa di unduh,1
tidak bisa upgrade,3
"tambah pengetahuan penting, seru busa ngobrol sama orang lain, kenalan pokoknya seru banget",5
aplikasi nya sih seru sih ngga ada kekurangan tapi ko sekarang aplikasi TikTok nya ko ga bisa lama di buka paling cuman 20 detik terus kembali lagi itu selalu seperti itu sekarang kenapa ya TikTok? atau mungkin HP aku terlalu sedikit memorinya makanya aplikasi TikTok nya tidak stabil?,5
gw gk dapet vitur vn ama sorotan ama telpon,1
setelah update story streak kg bs di post dan juga story teman tidak ada,1
aplikasi ini sangat bagus untuk live di tiktok tapi videonya kalau nonton online ternyata video ny sangat penting untuk akun...................😭😭😭😭👎👎👎👎👎,5
"tiktok aku pernah terlambat 1 hri bayar paylater sumpah yg nagih nggak kira"" orangnya banyak bgt mana penipu ulung semua mereka minta kirimnya ke dan* maksa ke situ terus.. aku juga di WA kalau mau hapus dendanya pap m**** dulu.. itu udah termasuk plecehan.. mohon perbaikannya rekrut karyawan yg berpendidikan nggk cuma gelar tapi etutid.",5
"seru, tp sering nge-lag",2
ga jelas apk ini sering keluar sendiri lag berkepanjangan tolong perbaiki lagii,1
tiktok makin lama makin kaya anjg,1
kok di aku gak bisa di DM apa akun ku di batasi,4
sering keluar sendiri dari apk nya pdhl memori masih banyak ga penuh terus batasan umur terus pdhl pengen buat live saya di tiktok dan berbelanja,5
"baru tau dari teman,bisa dapat uang dari tik tok, baru tarik receh,yg penting bisa ditarik dana nya.... seneng",5
saya tambah bi gunh,5
suka,5
"aplikasinya gak bisa di buka keluar"" sendiri trs udh download uninstal trs",2
bagus tapi kok vidio afline nya ilang ?,5
patah' mulu,1
seruuu,5
mohon maaf nih sya ksi bintang 4 krna tiktok sya TDK bisa men DM orng,4
rame,5
untuk pembelian d tiktok sangat2 BURUK sekali dalam beberapa minggu ini.. barang yang d pesan tidak sesuai .. banyak penjual yang sulit d hub dan pemesan menunggu hingga 5hri dan tidak ada kabar.. harus nya penjual harus d sanksi tegas dan d kenkan denda 5x lipat sesuai harga barng yang d pesan..,1
lama membukanya,4
karna unik,5
"Agak Sedikit leg Leg Parah,padahal Jaringn Baguss",4
kok ngk bisa chat setiap chat tuh ngk di izinin muli,1
jangan pernah gunain paylater nya tiktok telat 2 hari padahal angsuran saya cuma 80k jadi 163 k nggak ngotak bngt jangan Ampe gunain paylater nya klau nggk mau nyesel,1
"gua ngepost jualan akun ff malah kena banned hadeh, padahal niat jualan mlh kna bann, algoritma nya jelek, kebanyakan bug",2
min tolong dong kenapa sekarang live game 8 ball pooll sering di bened . dengan alasan penjudian. padahal ini game biasa tolong di perbaiki ya min pless,2
Karena tok tok itu bagus sekali aku jadi suka,5
bagus dan bisa bikin vidio tapi tolong perbaiki bug nya ya,5
kasih gw vitur vn sama telfon ga😌,3
yang aku gak bisa nonton live,3
bagus,5
bagus,5
Mancing dengan teman,5
"""video Anda tidak memenuhi syarat untuk di rekomendasikan ke feed saran"" apaan sih ga jelas bngt, gue cape tau ngedit nya, gue sengaja kasi bintang 5 biar ke baca",5
𝚋𝚒𝚜𝚊 𝚖𝚎𝚗𝚊𝚛𝚒𝚔 𝚞𝚊𝚗𝚐,5
bagus,5
developer tolong perbaiki ini pas masuk ke tiktok sering keluar dari tiktok HP cepat panas tiktok ngebug itu saja!,2
good,4
ok,5
gk bisa fitur Microsoft,3
"aplikasi nya ngeleg , pdhal memori pnyimpanan ku ngak penuh",1
buat isi waktu yang senggang,5
seru banget bisa untuk berkomunikasi dengan teman,5
aplikasi ini sangat baguss,5
bintang 5,5
"ukuran aplikasi naik banget sampai ga muat memori gw ,, tolong turunkan ukuran aplikasi ini biar tiktokan lancar",1
mengapa aku ga bisa daftar,5
mantap lah,5
awalnya gk suka karna cuma konten joget2 sj tpi sekarang sudah bagus banyak konten edukasi,4
"aneh ya padahal kan ini aplikasi online pas gw masuk gk ngidupin data lancar aja gk macet"" tapi ya gk bisa liat vidio lah, tapi pas gw ngidupin data terus masuk ke tiktok malah macet, ngestuck terus keluar sendiri gtu terus jadinya ini gw disuruh ngapain ya? masak gw buka tiktok tapi gk idupin data udh gw coba masuk dulu baru idupin data sama aja langsung keluar, update udah, udah coba uninstall berkali"", hapus data tapi tetep sama aja ini gmna nih? tolong diperbaiki ya",1
tidak muncul keranjang kuning,4
tiktok banyak tingkah . lelet,5
ram nya bersar banget dan di hp gak kuat bayak leve aja,3
kadang sering ngeleg,5
Gak bagus 😂😂🤣,5
aku mau vn di apk tiktok,5
sangat bagus,5
Menciptakan Dunia Cerdas Buat untuk Manusia,5
"tiba-tiba akun ke banned, buat yang lain, sebaiknya gak isi ulang koin tiktok, percuma! tanpa alasan, tanpa pemberitahuan, kalau gak hoki akun kalian bakal ke banned, kecil kemungkinan akun kalian balik, banding pun juga gak akan disetujui kecuali pake ordal.",1
"makin sering update malah makin parah, sering muncil notif tidak ada koneksi internet. padahal dibuat nonton video di youtube lancar2 aja",2
beguna banget untuk menenangkan diri 🙃,4
gw udeh bikin api sampe 300 malah ga bisa chat kan cape,1
gw udh bikin api sama temen gw api nya masih abu-abu sampe 222 tapi malah ga bisa ngechat anjir,1
sangat baik untuk informasi dan tontonan,5
tolong dong kasih vitur vn tapi Tampa update di android,5
kebanyakan bug,3
udah download 2× knapa jadi ke tiktok versi dulu sih,1
tolong tiktok sya kok gak bisa lihat pesanan di tiktokshop. padahal sya mau mantau orderan sya. tolong donk diperbaiki. di update sudah tp tetep gk bisa²,2
aplikasi nya bagus banget,5
Kenapa punya saya ga bisa ngirim vn/sorotan padahal orang orang udah bisa jadi tolong perbaiki dan juga kadang suka ngeleg tiba tiba,5
"hlo tiktok,,,MOHON UNTUK KEAMANAN IKLAN MU DI CEK,,, BANYAK ORNG YUA YG TERTIPU ATAS IKLAN PEMBELIAN BARANG HERBAL DARI TIKTOK YG GA TAU ITU DARI MANA,,,, SAMPAY SAYA BERKELAHI DENGAN ORANG TUA SAYA MENJELASKAN BAHWASANYA ITU PENIPUAN,, NAMUN ORNG TUA SAYA TIDAK PERCAYA,,,,, TOLONG DI PERBAIKI JANGAN SAMPAI ADA KORBAN LAIN,,,,, SAYA TIDAK MAU KAU BANYAK ALASAN,,, SEGERA LAKUKAN PEMERIKSAAAN,,,,, DAN BENED SEMUA AKUN YG MEMBUAT PEMECAH BELAH AGAMA DAN SUKU ,,, ORNG TUA SAYA SERING MELIHAT ITU,,,,",2
"Harusnya kasih vitur edit, biar gampang kayak wa",4
bagus banget,1
knpa tiktok sya ngga bisa mulung koin?,5
tapi gimana cara active in vitur vn,5
bagus bgt,5
"apk bagus ,cuman udah banyak iklan judol GK jelas udah gak bagus lagi sekarang mah",2
kembalikan efek,5
bagusin plis,5
aku kasih 9/10 yaaa,5
menurut gue sih nggak terlalu bagus kenapa di HP gue kalau pakai jaringan sendiri enggak bisa harus pakai wi-fi,2
bgus apk ny,5
bangus,5
bagus sekaali,5
Tiktok nya Bagus SII Tapi Sayang Nya Bosor Banget Min🙏,5
